Bundesland,Date,Cases
Sachsen-Anhalt,2020-04,662
Sachsen-Anhalt,2020-05,129
Sachsen-Anhalt,2020-06,125
Sachsen-Anhalt,2020-07,144
Sachsen-Anhalt,2020-08,211
Sachsen-Anhalt,2020-09,401
Sachsen-Anhalt,2020-10,1947
Sachsen-Anhalt,2020-11,4830
Sachsen-Anhalt,2020-12,9483
Sachsen-Anhalt,2021-01,9639
Sachsen-Anhalt,2021-02,5413
Sachsen-Anhalt,2021-03,2668
Schleswig-Holstein,2020-02,2
Schleswig-Holstein,2020-03,1199
Schleswig-Holstein,2020-04,1289
Schleswig-Holstein,2020-05,305
Schleswig-Holstein,2020-06,58
Schleswig-Holstein,2020-07,285
Schleswig-Holstein,2020-08,538
Schleswig-Holstein,2020-09,728
Schleswig-Holstein,2020-10,2843
Schleswig-Holstein,2020-11,4732
Schleswig-Holstein,2020-12,7090
Schleswig-Holstein,2021-01,7240
Schleswig-Holstein,2021-02,4792
Schleswig-Holstein,2021-03,2148
Thüringen,2020-03,837
Thüringen,2020-04,1332
Thüringen,2020-05,645
Thüringen,2020-06,207
Thüringen,2020-07,116
Thüringen,2020-08,245
Thüringen,2020-09,456
Thüringen,2020-10,2678
Thüringen,2020-11,7587
Thüringen,2020-12,14869
Thüringen,2021-01,13505
Thüringen,2021-02,7931
Thüringen,2021-03,4363
